epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.23378,1.54073,3.53197,1.08459,0.46402,0.51931,0.48403,0.30458,1.32651,2.19515,1.01086,0.00011172,0.00011172,0.00011172
2,16.343,1.29435,1.59867,1.00637,0.71932,0.81182,0.82113,0.49169,1.24405,1.5523,0.98679,0.000229206,0.000229206,0.000229206
3,24.5429,1.26587,1.15463,0.98957,0.77716,0.84101,0.88182,0.55545,1.24363,1.1577,1.02071,0.000346577,0.000346577,0.000346577
4,34.123,1.19016,0.96398,1.01499,0.88198,0.91121,0.96718,0.59539,1.27914,0.91656,1.03304,0.00046383,0.00046383,0.00046383
5,42.5532,1.26281,0.87218,1.02205,0.90683,0.9227,0.97071,0.6156,1.25767,0.90887,1.04741,0.000580967,0.000580967,0.000580967
6,51.7216,1.29453,0.9002,1.03338,0.81306,0.89582,0.96157,0.62195,1.18572,1.22943,1.00546,0.000586545,0.000586545,0.000586545
7,61.4502,1.25809,0.89925,1.01809,0.86516,0.86533,0.96069,0.61416,1.20809,1.1593,1.00846,0.000586254,0.000586254,0.000586254
8,68.3207,1.14807,0.80504,0.91127,0.89539,0.874,0.95245,0.60802,1.21543,0.86665,1.02117,0.000585963,0.000585963,0.000585963
9,76.9942,1.2143,0.74782,0.99286,0.91073,0.89604,0.96111,0.62065,1.18649,0.77192,1.00586,0.000585672,0.000585672,0.000585672
10,85.9369,1.15869,0.70856,0.97674,0.96022,0.98409,0.98887,0.6527,1.13436,0.61034,0.98575,0.00058538,0.00058538,0.00058538
11,94.4174,1.18486,0.6558,0.99258,0.9181,0.96034,0.98603,0.65232,1.15703,0.66717,0.98795,0.000585089,0.000585089,0.000585089
12,102.928,1.14693,0.67276,1.00235,0.93751,0.98267,0.98794,0.65696,1.12947,0.60339,0.99569,0.000584798,0.000584798,0.000584798
13,111.868,1.14822,0.64114,0.97132,0.89415,0.95191,0.97167,0.62864,1.16558,0.66253,0.99719,0.000584507,0.000584507,0.000584507
14,119.462,1.12666,0.63749,0.9691,0.95603,0.94912,0.97991,0.63129,1.19,0.60408,1.00892,0.000584216,0.000584216,0.000584216
15,128.154,1.14853,0.61097,0.97417,0.96335,0.9679,0.9906,0.66621,1.1367,0.56785,0.981,0.000583925,0.000583925,0.000583925
16,137.92,1.14263,0.58087,0.99857,0.9927,0.99524,0.99425,0.68292,1.09879,0.50595,0.96872,0.000583634,0.000583634,0.000583634
17,146.832,1.16777,0.58956,0.96053,0.97827,0.97823,0.99197,0.68035,1.11446,0.52766,0.98652,0.000583343,0.000583343,0.000583343
18,153.516,1.1099,0.55432,0.97136,0.97761,0.9898,0.9893,0.67328,1.12493,0.52128,0.98438,0.000583052,0.000583052,0.000583052
19,161.043,1.11323,0.55179,0.95891,0.99081,0.9909,0.99354,0.67827,1.13203,0.51341,0.98263,0.000582761,0.000582761,0.000582761
20,169.511,1.11494,0.55576,0.95684,0.96778,0.98358,0.98721,0.66393,1.14892,0.55322,0.99151,0.00058247,0.00058247,0.00058247
21,176.867,1.1013,0.55536,0.94879,0.97041,0.9523,0.98244,0.67988,1.09384,0.6072,0.96999,0.000582179,0.000582179,0.000582179
22,185.599,1.09622,0.53983,0.96086,0.97253,0.94027,0.98523,0.68149,1.06609,0.53178,0.95987,0.000581888,0.000581888,0.000581888
23,194.615,1.06728,0.53275,0.96331,0.98563,0.99769,0.99434,0.7004,1.06871,0.49723,0.96477,0.000581597,0.000581597,0.000581597
24,201.907,1.13947,0.55878,0.94189,0.96095,0.98583,0.9936,0.68997,1.08298,0.50872,0.97314,0.000581306,0.000581306,0.000581306
25,211.746,1.0928,0.54479,0.98038,0.9904,0.99077,0.99342,0.70525,1.04809,0.48173,0.9617,0.000581015,0.000581015,0.000581015
26,220.286,1.08131,0.52159,0.94959,0.99131,0.99658,0.99466,0.69688,1.06768,0.49326,0.96214,0.000580724,0.000580724,0.000580724
